Id,L1 tp,L1 fp,L1 fn,L1 Recall,L1 Precision,L1 F1 score,L2 tp,L2 fp,L2 fn,L2 Recall,L2 Precision,L2 F1 score,L3 tp,L3 fp,L3 fn,L3 Recall,L3 Precision,L3 F1 score,Artificial tp,Artificial fp,Artificial fn,Artificial Recall,Artificial Precision,Artificial F1 score,Total tp,Total fp,Total fn,Total Recall,Total Precision,Total F1 score
2001_esa,0,0,6,0.0,0.0,0.0,1,9,6,0.143,0.1,0.118,1,0,2,0.333,1,0.5,0,0,7,0.0,0,0.0,2,9,14,0.125,0.182,0.148
2005_nenios,1,0,9,0.1,1.0,0.182,1,7,9,0.1,0.125,0.111,0,0,5,0.0,0,0.0,1,0,8,0.111,1,0.2,2,7,23,0.08,0.222,0.118
2009_video_search,4,1,2,0.667,0.8,0.727,1,2,15,0.062,0.333,0.105,1,0,2,0.333,1,0.5,4,0,9,0.308,1,0.471,6,3,19,0.24,0.667,0.353
2010_home_1.3,2,0,4,0.333,1.0,0.5,0,3,9,0.0,0.0,0.0,2,0,4,0.333,1,0.5,3,0,8,0.273,1,0.429,4,3,17,0.19,0.571,0.285
2021_init-v,0,0,10,0.0,0.0,0.0,9,6,16,0.36,0.6,0.45,1,0,4,0.2,1,0.333,0,0,8,0.0,0,0.0,10,6,30,0.25,0.625,0.357
2022_neutero,2,0,9,0.182,1.0,0.308,8,4,9,0.471,0.667,0.552,1,0,2,0.333,1,0.5,1,0,8,0.111,1,0.2,11,4,20,0.355,0.733,0.478
2023_octo,2,0,15,0.118,1.0,0.211,6,3,15,0.286,0.667,0.4,0,0,4,0.0,0,0.0,5,0,8,0.385,1,0.556,8,3,34,0.19,0.727,0.301
2024_topo_sim,0,2,6,0.0,0.0,0.0,6,7,14,0.3,0.462,0.364,0,0,0,0.0,0,0.0,2,0,17,0.105,1,0.19,6,9,20,0.231,0.4,0.293
